15	 1:237604	 2:1	 3:76	 4:2	 5:1075	 8:159	 6:15	 7:9	 11:144	 9:2	 10:1	 12:5	 13:3	 16:129	 14:2	 15:-6	 19:22	 17:1	 18:2	 20:2	 21:1	
15	 1:237604	 2:1	 3:76	 4:2	 5:1075	 8:163	 6:6	 7:1	 11:67	 9:1	 10:1	 12:1	 13:2	 16:75	 14:0	 15:-8	 19:33	 17:6	 18:1	 20:2	 21:1	
25	 1:237604	 2:1	 3:76	 4:2	 5:1075	 8:25	 6:6	 7:-2	 11:96	 9:9	 10:1	 12:1	 13:2	 16:75	 14:2	 15:-10	 19:113	 17:1	 18:2	 20:0	 21:3	
15	 1:237604	 2:1	 3:76	 4:2	 5:1075	 8:19	 6:10	 7:7	 11:46	 9:2	 10:2	 12:2	 13:1	 16:75	 14:1	 15:-7	 19:105	 17:1	 18:2	 20:1	 21:3	
15	 1:237604	 2:1	 3:76	 4:2	 5:1075	 8:208	 6:8	 7:3	 11:169	 9:1	 10:2	 12:6	 13:4	 16:75	 14:-2	 15:-10	 19:35	 17:1	 18:2	 20:1	 21:1	
62	 1:237604	 2:1	 3:76	 4:2	 5:1075	 8:159	 6:9	 7:6	 11:48	 9:1	 10:1	 12:2	 13:1	 16:40	 14:4	 15:-7	 19:210	 17:6	 18:1	 20:4	 21:5	
15	 1:237604	 2:1	 3:76	 4:2	 5:1075	 8:208	 6:9	 7:5	 11:81	 9:2	 10:1	 12:1	 13:2	 16:75	 14:3	 15:-6	 19:32	 17:1	 18:2	 20:2	 21:1	
15	 1:237604	 2:1	 3:76	 4:2	 5:1075	 8:163	 6:9	 7:4	 11:110	 9:1	 10:1	 12:5	 13:3	 16:75	 14:2	 15:-7	 19:28	 17:1	 18:2	 20:2	 21:1	
24	 1:237604	 2:1	 3:76	 4:2	 5:1075	 8:40	 6:4	 7:-1	 11:71	 9:1	 10:1	 12:1	 13:2	 16:75	 14:-2	 15:-9	 19:141	 17:6	 18:1	 20:5	 21:3	
31	 1:237604	 2:1	 3:76	 4:2	 5:1075	 8:110	 6:9	 7:4	 11:149	 9:3	 10:1	 12:5	 13:3	 16:40	 14:3	 15:-6	 19:192	 17:6	 18:1	 20:6	 21:4	
9	 1:237604	 2:1	 3:76	 4:2	 5:1075	 8:40	 6:4	 7:0	 11:113	 9:1	 10:1	 12:5	 13:3	 16:75	 14:5	 15:-7	 19:40	 17:6	 18:1	 20:2	 21:1	
36	 1:237604	 2:1	 3:76	 4:2	 5:1075	 8:40	 6:10	 7:4	 11:180	 9:8	 10:1	 12:6	 13:4	 16:7	 14:2	 15:-5	 19:204	 17:3	 18:1	 20:4	 21:5	
15	 1:237604	 2:1	 3:76	 4:2	 5:1075	 8:129	 6:5	 7:-1	 11:128	 9:7	 10:2	 12:5	 13:3	 16:75	 14:-3	 15:-11	 19:40	 17:1	 18:2	 20:2	 21:1	
