13	 1:101502	 2:1	 3:76	 4:7	 5:1075	 6:6	 7:-2	 8:25	 9:9	 10:1	 11:96	 12:1	 13:2	 14:2	 15:-10	 16:75	 17:1	 18:2	 19:113	 20:0	 21:3
10	 1:101502	 2:1	 3:76	 4:3	 5:1075	 6:15	 7:9	 8:159	 9:2	 10:1	 11:144	 12:5	 13:3	 14:2	 15:-6	 16:129	 17:1	 18:2	 19:22	 20:0	 21:1
290	 1:101502	 2:1	 3:76	 4:7	 5:1075	 6:9	 7:6	 8:159	 9:1	 10:1	 11:48	 12:2	 13:1	 14:4	 15:-7	 16:40	 17:6	 18:1	 19:210	 20:5	 21:5
134	 1:101502	 2:1	 3:76	 4:5	 5:1075	 6:8	 7:3	 8:208	 9:1	 10:2	 11:169	 12:6	 13:4	 14:-2	 15:-10	 16:75	 17:1	 18:2	 19:35	 20:5	 21:1
14	 1:101502	 2:1	 3:76	 4:6	 5:1075	 6:4	 7:-1	 8:40	 9:1	 10:1	 11:71	 12:1	 13:2	 14:-2	 15:-9	 16:75	 17:6	 18:1	 19:141	 20:5	 21:3
6	 1:101502	 2:1	 3:76	 4:5	 5:1075	 6:9	 7:4	 8:110	 9:3	 10:1	 11:149	 12:5	 13:3	 14:3	 15:-6	 16:40	 17:6	 18:1	 19:192	 20:6	 21:4
9	 1:101502	 2:1	 3:76	 4:3	 5:1075	 6:9	 7:4	 8:163	 9:1	 10:1	 11:110	 12:5	 13:3	 14:2	 15:-7	 16:75	 17:1	 18:2	 19:28	 20:2	 21:1
9	 1:101502	 2:1	 3:76	 4:7	 5:1075	 6:8	 7:4	 8:19	 9:2	 10:2	 11:47	 12:2	 13:1	 14:-1	 15:-9	 16:75	 17:6	 18:1	 19:27	 20:2	 21:1
14	 1:101502	 2:1	 3:76	 4:5	 5:1075	 6:4	 7:0	 8:40	 9:1	 10:1	 11:113	 12:5	 13:3	 14:5	 15:-7	 16:75	 17:6	 18:1	 19:40	 20:2	 21:1
11	 1:101502	 2:1	 3:76	 4:7	 5:1075	 6:10	 7:4	 8:40	 9:8	 10:1	 11:180	 12:6	 13:4	 14:2	 15:-5	 16:7	 17:3	 18:1	 19:204	 20:4	 21:5
15	 1:101502	 2:1	 3:76	 4:6	 5:1075	 6:5	 7:0	 8:85	 9:7	 10:1	 11:189	 12:6	 13:4	 14:2	 15:-7	 16:40	 17:6	 18:1	 19:68	 20:1	 21:2
16	 1:101502	 2:1	 3:76	 4:3	 5:1075	 6:10	 7:4	 8:215	 9:3	 10:1	 11:157	 12:6	 13:4	 14:-1	 15:-6	 16:23	 17:6	 18:1	 19:189	 20:6	 21:4
9	 1:101502	 2:1	 3:76	 4:7	 5:1075	 6:5	 7:1	 8:76	 9:2	 10:1	 11:31	 12:2	 13:1	 14:-2	 15:-7	 16:110	 17:6	 18:1	 19:192	 20:6	 21:4
20	 1:101502	 2:1	 3:76	 4:7	 5:1075	 6:5	 7:1	 8:66	 9:2	 10:2	 11:76	 12:1	 13:2	 14:-6	 15:-16	 16:129	 17:1	 18:3	 19:24	 20:2	 21:1
40	 1:101502	 2:1	 3:76	 4:3	 5:1075	 6:0	 7:-7	 8:129	 9:7	 10:3	 11:58	 12:1	 13:2	 14:-11	 15:-14	 16:75	 17:1	 18:4	 19:65	 20:1	 21:2
14	 1:101502	 2:1	 3:76	 4:6	 5:1075	 6:5	 7:-1	 8:129	 9:7	 10:2	 11:128	 12:5	 13:3	 14:-3	 15:-11	 16:75	 17:1	 18:2	 19:40	 20:2	 21:1
99	 1:101502	 2:1	 3:76	 4:6	 5:1075	 6:4	 7:2	 8:70	 9:2	 10:1	 11:34	 12:2	 13:1	 14:-2	 15:-9	 16:13	 17:6	 18:1	 19:193	 20:6	 21:4
15	 1:101502	 2:1	 3:76	 4:3	 5:1075	 6:7	 7:1	 8:85	 9:8	 10:1	 11:229	 12:4	 13:5	 14:3	 15:-7	 16:129	 17:6	 18:1	 19:138	 20:5	 21:3
20	 1:101502	 2:1	 3:76	 4:6	 5:1075	 6:8	 7:4	 8:19	 9:2	 10:2	 11:47	 12:2	 13:1	 14:0	 15:-6	 16:110	 17:6	 18:1	 19:75	 20:1	 21:2
14	 1:101502	 2:1	 3:76	 4:7	 5:1075	 6:-4	 7:-7	 8:75	 9:7	 10:3	 11:59	 12:1	 13:2	 14:-3	 15:-11	 16:75	 17:1	 18:3	 19:53	 20:1	 21:2
80	 1:101502	 2:1	 3:76	 4:6	 5:1075	 6:2	 7:-6	 8:75	 9:8	 10:2	 11:67	 12:1	 13:2	 14:3	 15:-8	 16:75	 17:6	 18:1	 19:51	 20:1	 21:2
20	 1:101502	 2:1	 3:76	 4:7	 5:1075	 6:7	 7:4	 8:159	 9:3	 10:1	 11:48	 12:2	 13:1	 14:3	 15:-7	 16:40	 17:6	 18:1	 19:210	 20:4	 21:5
16	 1:101502	 2:1	 3:76	 4:2	 5:1075	 6:7	 7:3	 8:181	 9:1	 10:1	 11:56	 12:1	 13:2	 14:-3	 15:-10	 16:163	 17:6	 18:1	 19:71	 20:1	 21:2
